country,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality
Iceland,2013,7.501394272,10.62072182,0.967144907,72.98084259,0.9232077,0.296509355,0.712598741,0.869971037,0.15627557,0.456565946,1.358282328
Ireland,2006,7.144246578,10.79424,0.967041135,69.45856476,0.943274736,0.230456695,0.472848564,0.878255546,0.208633751,0.632926881,1.277577519
Ireland,2008,7.568029881,10.77702808,0.982521713,70.20683289,0.894108713,0.308757663,0.486994654,0.875383615,0.147759244,0.513727903,1.298773408
Ireland,2009,7.045911312,10.7088356,0.958702445,70.29021454,0.834729671,0.302994251,0.579600155,0.862124026,0.232698768,0.29256928,1.197401524
Ireland,2010,7.257389545,10.70736504,0.972885907,70.77552032,0.85602957,0.336762875,0.618024111,0.875982642,0.200655416,0.332579374,1.161035061
Ireland,2011,7.006904125,10.72927475,0.977377594,70.77765656,0.952034354,0.370415479,0.589912653,0.86522454,0.19030945,0.529104173,1.125581264
Ireland,2012,6.964645386,10.72857952,0.961785913,70.90807343,0.90219456,0.289130628,0.572632253,0.835201979,0.236661568,0.3458727,1.120193124
Ireland,2013,6.760085106,10.74033928,0.955188334,71.03848267,0.883772016,0.317957163,0.558394194,0.814344585,0.245267823,0.285015553,1.094639063
Ireland,2014,7.018379211,10.78789425,0.967744648,71.16889954,0.921629548,0.251754284,0.406036258,0.784334838,0.228723049,0.459882379,1.205327749
Italy,2007,6.574412346,10.54861927,0.912292421,71.62280273,0.684297025,0.10398224,0.922196567,0.715646088,0.303445637,0.30342415,0.770096004
Italy,2008,6.779774189,10.53144073,0.87966311,71.66785431,0.543076873,0.039953712,0.945625067,0.636669159,0.267580599,0.363116562,0.776037395
Italy,2009,6.333800316,10.47051144,0.880312502,71.80085754,0.700550497,0.231735796,0.889984667,0.775457144,0.279377729,0.399521708,0.682788491
Italy,2010,6.354238033,10.48439598,0.872384131,72.15266418,0.737738907,-0.068325989,0.921075165,0.596380711,0.235879943,0.333916396,0.712871492
Italy,2011,6.057086468,10.4885273,0.913309336,72.28565979,0.567738414,-0.026560925,0.933460951,0.658394277,0.265567929,0.259559691,0.702107608
Italy,2012,5.839313984,10.45724773,0.86948663,72.33071136,0.570094943,0.104202248,0.908323646,0.66976124,0.387652248,0.280694604,0.702469766
Italy,2013,6.009373665,10.42802715,0.916296065,72.37575531,0.499168754,-0.110770911,0.942639291,0.778827429,0.356616199,0.145972148,0.717109978
Italy,2014,6.026585102,10.40544128,0.89789933,72.42080688,0.623531222,-0.072224885,0.919959545,0.716064274,0.356019616,0.309035748,0.737915874
Latvia,2006,4.70950222,9.876301765,0.884498775,62.24703598,0.640807152,-0.235197887,0.937048614,0.654295862,0.234135449,0.291489393,0.822819114
Latvia,2007,4.666971684,9.97941494,0.835508585,62.38200378,0.700174093,-0.173483133,0.923952639,0.672520757,0.246862501,0.280693024,0.688644767
Latvia,2008,5.145375252,9.953285217,0.855418265,63.6117363,0.630111456,-0.209533453,0.926328242,0.638644397,0.214901268,0.190757662,0.491857022
Latvia,2009,4.668910503,9.81490612,0.806939304,64.19232178,0.437064558,-0.185536668,0.942090392,0.525004804,0.242196754,0.099944413,0.588900328
Latvia,2011,4.966811657,9.875653267,0.836042464,64.62722778,0.56446445,-0.008537173,0.9342556,0.563278019,0.221713215,0.107237339,0.503782034
Latvia,2012,5.125025272,9.92732811,0.851195216,64.80504608,0.563811779,-0.044212423,0.894979358,0.560012877,0.232224524,0.191219807,0.590419769
